resonance_radical_smiles,closed_shell_smiles,closed_shell_H298 (kcal/mol),closed_shell_S298 (cal/mol/K),closed_shell_Cp300 (cal/mol/K),closed_shell_Cp400 (cal/mol/K),closed_shell_Cp500 (cal/mol/K),closed_shell_Cp600 (cal/mol/K),closed_shell_Cp800 (cal/mol/K),closed_shell_Cp1000 (cal/mol/K),closed_shell_Cp1500 (cal/mol/K),closed_shell_Sint298 (cal/mol/K),closed_shell_thermo_comment,closed_shell_thermo_source
CC(=O)OC(OO)[C](O)C=O,CC(=O)OC(OO)C(O)C=O,-200.41606118546846,130.19854792932654,43.39500956022945,52.970076481835555,61.4406118546845,67.61005736137668,76.90384321223709,83.96219885277245,91.87839388145315,129.62686424474185,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-OsH) + group(Cs-(Cds-O2d)CsOsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsH),GAV
CC(=O)OC(OO)C(O)=C[O],CC(=O)OC(OO)C(O)=CO,-210.2929636711281,119.89576761750901,48.19474187380497,59.4597514340344,67.64240917782026,73.0699808795411,80.47334608030592,86.10577437858508,92.82973231357552,120.7015105162524,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH),GAV
C[C](O)C1OOC(OC(C)=O)O1,CC(=O)OC1OOC(C(C)O)O1,-205.56457290630976,123.92034039165169,45.19461950286807,56.495330783938805,67.19521988527724,75.48353728489482,87.30418164435949,95.9828929254302,110.39089866156787,126.90925277246653,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-CsOsOsH) + group(Cs-OsOsOsH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + ring(124trioxolane),GAV
CC(=O)OC1O[CH]C(C)(O)OO1,CC(=O)OC1OCC(C)(O)OO1,-214.15581261950288,111.69935893260661,48.29789674952198,61.231778202676864,72.22965583173996,80.61977055449331,91.67977055449332,99.13242829827915,114.6546653919694,116.0656978967495,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsHH) + group(Cs-OsOsOsH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + ring(124trioxane),GAV
[O]C(=O)OC(=O)O,O=C(O)OC(=O)O,-223.69593394423887,86.50326973293693,24.694822883420194,28.758100268533173,32.04033874850406,34.6281945405548,38.15600144983452,40.35052409568069,43.22298327565619,87.88069631626499,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py
CC(=O)COC(O[O])OC(C)=O,CC(=O)COC(OO)OC(C)=O,-200.81718929254302,134.9344145790322,49.034799235181644,58.55868068833652,67.4165774378585,75.09493307839388,86.77521988527725,95.19996175908221,105.50370936902486,137.92332695984703,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsH) + group(Cs-(Cds-O2d)OsHH) + group(Cs-OsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs),GAV
CC(=O)OC1OOC(O)[C]1O,CC(=O)OC1OOC(O)C1O,-209.45171493307836,114.98527067089222,41.45707456978967,51.189967495219875,60.53779158699808,67.20425047801146,76.78476673040154,84.05068260038242,96.22207456978967,117.16844015296367,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-CsOsOsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + ring(12dioxolane),GAV
CC(=O)C(CC(=O)OC=O)O[O],CC(=O)C(CC(=O)OC=O)OO,-189.45908221797325,138.60861656588375,47.27741873804971,56.30267686424474,64.22239005736138,70.50747609942638,79.96621414913957,86.6167877629063,94.9847036328872,139.41435946462713,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-OsH) + group(Cs-(Cds-O2d)CsOsH) + group(Cs-(Cds-O2d)CsHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs) + group(Cds-OdOsH),GAV
[O]OC(=O)OC(=O)O,O=C(O)OC(=O)OO,-199.9732445733577,94.2559029530491,31.001149527375908,34.73995910396748,37.82625963699091,40.35546239922147,44.03524882679485,46.31252315499043,48.6160507027605,94.2559029530491,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py
C[C](O)C(=O)OC(C)=O,CC(=O)OC(=O)C(C)O,-183.1455066921606,116.770418403124,35.545277246653924,43.38848948374761,50.22571701720841,55.52644359464627,63.85751434034417,69.83147227533462,78.3323135755258,119.75933078393881,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-(Cds-O2d)CsOsH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs),GAV
CC(=O)OC([O])=C(C)O,CC(=O)OC(O)=C(C)O,-174.10055449330784,101.80520979302729,41.41346080305928,50.63093690248565,56.85351816443595,61.39541108986615,68.44346080305927,73.36120458891013,80.39158699808794,106.17154875717017,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-Cd)) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(Cs-(Cds-Cds)HHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-CdsCsCs) + group(Cds-OdCsOs),GAV
O=C[C](O)C(=O)C(O)OO,O=CC(O)C(=O)C(O)OO,-183.7564053537285,124.05055106340566,40.696042065009564,47.61518164435946,53.776940726577436,58.392256214149135,64.89520076481836,69.96908221797324,75.81059273422562,121.29569789674954,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-OsH) + group(Cs-CsCsOsH) + group(Cs-CsOsOsH) + group(Cds-OdCsCs) + group(Cds-OdCsH),GAV
[O]C=C(O)C(=O)C(O)OO,O=C(C(O)=CO)C(O)OO,-190.83770554493304,112.64224493896859,45.286921606118554,54.49606118546844,60.84820267686424,64.58093690248567,69.16537284894838,72.8884894837476,76.51298279158699,111.26481835564053,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-CsH) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cds-O2d(Cds-Cds)Cs) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-CdsOsH),GAV
[O]C(=C(O)C=O)C(O)OO,O=CC(O)=C(O)C(O)OO,-189.83770554493304,112.9222449389686,46.11692160611855,55.046061185468446,60.898202676864244,64.35093690248566,69.04537284894838,72.5284894837476,75.342982791587,111.54481835564054,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-CsH) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cds-CdsCsOs) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-O2d(Cds-Cds)H),GAV
CC(=O)OC(O[O])C(O)=CO,CC(=O)OC(OO)C(O)=CO,-210.2929636711281,119.89576761750901,48.19474187380497,59.4597514340344,67.64240917782026,73.0699808795411,80.47334608030592,86.10577437858508,92.82973231357552,120.7015105162524,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH),GAV
C[C]1OC(=O)C(O)(C=O)O1,CC1OC(=O)C(O)(C=O)O1,-206.4678776290631,99.58732764985972,33.63263862332696,44.45434034416825,53.57137667304015,59.78091778202676,67.78860420650095,73.45261950286806,80.49470363288718,101.77049713193117,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsOsH) + group(Cs-CsHHH) + group(Cds-OdCsOs) + group(Cds-OdCsH) + ring(Cyclopentane),GAV
[O]C1(O)OC(=O)O1,O=C1OC(O)(O)O1,-191.87648183556405,80.03274550080195,20.582810707456975,25.848986615678776,30.369560229445508,33.60206500956023,38.23443594646272,41.02586998087954,44.71388145315487,81.41017208413001,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs) + ring(Cyclobutane),GAV
[O]OCC(=O)CC(=O)OC=O,O=COC(=O)CC(=O)COO,-175.18948374760996,127.61760994263862,43.357131931166336,50.51279158699808,56.83596558317399,62.07122370936903,69.40833652007649,74.49030592734225,81.01059273422561,127.61760994263862,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsH) + group(Cs-(Cds-O2d)(Cds-O2d)HH) + group(Cs-(Cds-O2d)OsHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs) + group(Cds-OdOsH),GAV
O=C[C](O)C(=O)O,O=CC(O)C(=O)O,-167.51912045889102,94.00887973820377,25.583173996175905,30.650095602294456,35.004780114722756,38.6065965583174,43.99378585086042,47.71749521988527,52.782026768642446,92.63145315487571,Thermo group additivity estimation: group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-CsCsOsH) + group(Cds-OdCsOs) + group(Cds-OdCsH),GAV
[O]C=C(O)C(=O)O,O=C(O)C(O)=CO,-154.33770554493307,87.14481835564055,31.43692160611855,37.74606118546845,41.498202676864246,43.67093690248566,46.25537284894837,48.018489483747615,50.822982791586995,87.14481835564055,Thermo group additivity estimation: group(O2s-(Cds-Cd)H) + group(O2s-(Cds-O2d)H) + group(O2s-(Cds-Cd)H) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-O2d(Cds-Cds)O2s) + group(Cds-CdsOsH),GAV
[O]C(O)=C(O)C=O,O=CC(O)=C(O)O,-150.30093690248566,82.31892925430208,33.58862332695985,40.47562141491395,44.057399617590825,45.90912045889101,48.30950286806883,49.655927342256206,51.054091778202675,82.31892925430208,Thermo group additivity estimation: group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-CdsCsCs) + group(Cds-O2d(Cds-Cds)H),GAV
[O]OC(O)(O)O,OOC(O)(O)O,-163.1512428298279,88.48342707624593,27.11351816443595,30.356940726577434,32.96980879541109,35.02456978967495,38.287112810707455,40.973613766730395,45.170764818355636,90.66659655831738,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-OsH) + group(Cs-OsOsOsOs),GAV
O=C(O)O[CH]O,O=C(O)OCO,-186.4755116615943,79.31675391097747,26.220120663017212,31.420234685892932,35.09855416756333,38.047507828322416,42.43983703439935,45.2758571396367,48.43133364847632,79.31675391097747,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py
[O]OC(O)C(O)=C(O)C=O,O=CC(O)=C(O)C(O)OO,-189.83770554493304,112.9222449389686,46.11692160611855,55.046061185468446,60.898202676864244,64.35093690248566,69.04537284894838,72.5284894837476,75.342982791587,111.54481835564054,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-CsH) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cds-CdsCsOs) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-O2d(Cds-Cds)H),GAV
CC(=O)OC(=O)C(C)(C)O[O],CC(=O)OC(=O)C(C)(C)OO,-172.16692160611854,125.5974705212809,48.545449330783946,58.11200764818354,66.07095602294454,72.62588910133844,82.19546845124285,89.34579349904398,99.55013384321222,132.14697896749522,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-OsH) + group(Cs-(Cds-O2d)CsCsOs) + group(Cs-CsHHH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs),GAV
CC(=O)OC(OO)C(=O)CO[O],CC(=O)OC(OO)C(=O)COO,-183.4678776290631,133.87716341100804,49.29217973231357,58.82108986615678,67.39349904397706,74.08919694072658,83.49808795411091,90.74762906309752,98.59221797323136,134.68290630975144,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)OsHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs),GAV
CC1(OO)COC(O[O])C(=O)O1,CC1(OO)COC(OO)C(=O)O1,-194.09871892925435,108.40792038408533,48.10082217973231,61.54455066921605,72.68900573613769,80.72432122370937,90.18405353728491,97.12030592734227,102.4269980879541,110.59108986615678,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsHH) + group(Cs-CsOsOsH) + group(Cs-CsHHH) + group(Cds-OdCsOs) + ring(Cyclohexanone),GAV
CC(=O)OC([O])C(=O)C=O,CC(=O)OC(O)C(=O)C=O,-197.42925430210326,116.17779438615145,37.05449330783939,44.30363288718929,51.22395793499044,56.61022944550669,64.73399617590822,70.70583173996177,77.82342256214149,116.98353728489482,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-O2d(Cds-O2d)Cs) + group(Cds-OdCsOs) + group(Cds-O2d(Cds-O2d)H),GAV
[O]OC(O)C(=O)C(O)=CO,O=C(C(O)=CO)C(O)OO,-190.83770554493304,112.64224493896859,45.286921606118554,54.49606118546844,60.84820267686424,64.58093690248567,69.16537284894838,72.8884894837476,76.51298279158699,111.26481835564053,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-CsH) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cds-O2d(Cds-Cds)Cs) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-CdsOsH),GAV
O=C1C(O)OOC1(O)[CH]O,O=C1C(O)OOC1(O)CO,-195.2848948374761,106.78896749521988,38.5576481835564,49.11818355640535,57.26478011472276,62.34204588910133,68.67103250478011,73.52831739961759,78.94347992351815,106.78896749521988,Thermo group additivity estimation: group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsOsH) + group(Cs-CsOsHH) + group(Cds-OdCsCs) + ring(Cyclopentane),GAV
O=C1[CH]OCC(COO)(OO)O1,O=C1COCC(COO)(OO)O1,-180.82892925430212,108.78789674952198,49.03175908221797,62.44346080305929,73.174034416826,81.23757170172084,90.69009560229446,97.1774569789675,102.7931739961759,108.78789674952198,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsHH) + group(Cs-CsOsHH) + group(Cs-(Cds-O2d)OsHH) + group(Cds-OdCsOs) + ring(Cyclohexanone),GAV
[O]C1=COCC(COO)(OO)O1,OOCC1(OO)COC=C(O)O1,-160.2475908221797,98.84066921606117,54.383766730401526,67.72416826003824,76.81101338432121,82.9485277246654,89.81801147227533,93.76219885277244,103.28879541108985,98.84066921606117,Thermo group additivity estimation: group(O2s-Cs(Cds-Cd)) + group(O2s-Cs(Cds-Cd)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsHH) + group(Cs-CsOsHH) + group(Cds-CdsCsCs) + group(Cds-CdsOsH) + ring(23dihydro14dioxin),GAV
CC(=O)OC(CC(C)O[O])OO,CC(=O)OC(CC(C)OO)OO,-170.84092782974665,126.96913278938248,57.760723165171534,70.2763206874399,80.74659397076002,89.34222959464954,101.70039163573878,109.14852926097514,118.35935944352524,128.58061858686924,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py
[O]CC1(COO)COCC(=O)O1,O=C1COCC(CO)(COO)O1,-195.1231931166348,116.00298279158699,49.52739961759082,61.77053537284896,72.28453154875717,80.83221797323135,92.34772466539198,100.58629063097514,109.6626003824092,116.00298279158699,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-OsH) + group(Cs-CsCsCsOs) + group(Cs-CsOsHH) + group(Cs-CsOsHH) + group(Cs-CsOsHH) + group(Cs-(Cds-O2d)OsHH) + group(Cds-OdCsOs) + ring(Cyclohexanone),GAV
[O]C1(O)OOC(=O)O1,O=C1OOC(O)(O)O1,-212.9700956022945,85.63521988527722,23.37663479923518,31.193269598470355,37.01906309751433,40.80470363288719,46.13667304015296,49.25009560229445,53.00177820267687,85.63521988527722,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-O2s(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs) + ring(Cyclopentane),GAV
[O]OCC1(OO)COCC(=O)O1,O=C1COCC(COO)(OO)O1,-180.82892925430212,108.78789674952198,49.03175908221797,62.44346080305929,73.174034416826,81.23757170172084,90.69009560229446,97.1774569789675,102.7931739961759,108.78789674952198,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsHH) + group(Cs-CsOsHH) + group(Cs-(Cds-O2d)OsHH) + group(Cds-OdCsOs) + ring(Cyclohexanone),GAV
CC(=O)OC(OO)C(C)CO[O],CC(=O)OC(OO)C(C)COO,-166.78338659922147,127.62607722241506,59.15361315502993,70.1114952622133,79.41308898432601,87.24986107952206,99.2352599046081,107.36123573401531,117.5606476204159,129.2375630199018,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py
CC(=O)OC(CC(C)OO)O[O],CC(=O)OC(CC(C)OO)OO,-170.84092782974665,126.96913278938248,57.760723165171534,70.2763206874399,80.74659397076002,89.34222959464954,101.70039163573878,109.14852926097514,118.35935944352524,128.58061858686924,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py
CC(=O)CC([O])OC(C)=O,CC(=O)CC(O)OC(C)=O,-190.21128107074568,121.38707232281806,41.71749521988527,50.30506692160612,58.64030592734225,65.35066921606119,75.83581261950287,83.84875717017209,94.57533460803059,124.37598470363287,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(Cs-(Cds-O2d)CsHH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs),GAV
[O]OC1(COO)COCC(=O)O1,O=C1COCC(COO)(OO)O1,-180.82892925430212,108.78789674952198,49.03175908221797,62.44346080305929,73.174034416826,81.23757170172084,90.69009560229446,97.1774569789675,102.7931739961759,108.78789674952198,Thermo group additivity estimation: group(O2s-CsCs) + group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsCsOsOs) + group(Cs-CsOsHH) + group(Cs-CsOsHH) + group(Cs-(Cds-O2d)OsHH) + group(Cds-OdCsOs) + ring(Cyclohexanone),GAV
CC(=O)OC(=O)C(C)C[O],CC(=O)OC(=O)C(C)CO,-186.634034416826,125.53772241842034,42.71246653919694,50.85147227533461,58.19780114722753,64.49219885277246,74.31541108986616,81.57210325047801,92.64453154875717,128.52663479923518,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-(Cds-O2d)CsCsH) + group(Cs-CsOsHH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs),GAV
O=CO[C](O)O,O=COC(O)O,-175.24529636711281,88.40562141491397,22.587323135755256,26.100382409177822,29.574397705544932,32.667590822179726,37.613059273422564,41.11835564053537,45.22208413001912,88.40562141491397,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-OsOsOsH) + group(Cds-OdOsH),GAV
CC(=O)OC(CO[O])C(C)OO,CC(=O)OC(COO)C(C)OO,-161.53499043977055,137.36547404954956,54.63466539196941,66.22695984703633,76.08579349904399,84.38273422562142,96.45665391969408,105.47145315487573,117.2398087954111,138.9769598470363,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsCsOsH) + group(Cs-CsCsOsH) + group(Cs-CsOsHH) + group(Cs-CsHHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs),GAV
